日期,中国:公开市场操作:货币净投放,中国:社会融资规模存量:同比,唐山:高炉开工率,中国:发电量:当月同比,中国:水泥价格指数,中国:30大中城市:成交面积:商品房,中国:二手房出售挂牌价指数,上海:地铁客运量,北京:地铁客运量,广州:地铁客运量,深圳:地铁客运量,中国:日均销量(当周厂家零售):乘用车,中国:出口金额:当月同比,中国:进口金额:当月同比,中国:PPI:生产资料:当月同比,中国:PPI:生活资料:当月同比,中国:平均批发价:猪肉,南华工业品指数,中国:CPI:当月同比
2025-04-18,,,93.3,,,,,,,,,,,,,,,,
2025-04-17,,,,,126.15,22.154355,,1178.0,,978.5,880.22,,,,,,20.65,3498.22,
2025-04-16,,,,,126.45,22.176305,,1194.0,1136.5,983.0,963.0,,,,,,20.94,3469.95,
2025-04-15,,,,,126.53,21.779403,,1193.0,1132.23,973.3,957.61,,,,,,20.62,3507.56,
2025-04-14,,,,,126.41,22.906527,,1175.0,1116.93,955.1,947.81,,,,,,20.79,3512.31,
2025-04-13,,,,,,15.69398,,737.0,418.32,842.3,786.73,43704.0,,,,,,,
2025-04-12,,,,,,14.49458,,684.0,207.79,697.4,626.71,,,,,,,,
2025-04-11,-2892.0,,93.1,,126.13,23.217663,,1251.0,1190.85,1048.9,1025.5,,,,,,20.84,3501.54,
2025-04-10,,,,,126.22,27.364429,,1185.0,1126.45,935.5,945.5,,,,,,20.76,3513.3,
2025-04-09,,,,,127.22,26.71156,,1183.0,1113.1,929.6,940.88,,,,,,20.51,3410.15,
2025-04-08,,,,,128.04,21.506957,,1183.0,1103.36,932.9,942.36,,,,,,20.61,3480.83,
2025-04-07,,,,,128.01,20.225627,155.64,1166.0,1107.47,940.7,932.22,,,,,,20.98,3562.68,
2025-04-06,,,,,,11.097507,,730.0,756.69,849.0,752.59,34918.0,,,,,,,
2025-04-05,,,,,,6.049395,,811.0,833.14,729.6,646.61,,,,,,,,
2025-04-04,-5019.0,,89.31,,,9.529363,,788.0,837.16,892.9,941.23,,,,,,,,
2025-04-03,,,,,127.38,25.715282,,1237.0,1240.62,1116.1,1044.91,,,,,,20.91,3727.58,
2025-04-02,,,,,127.38,22.905107,,1197.0,1131.94,948.9,933.82,,,,,,20.72,3772.25,
2025-04-01,,,,,127.32,21.668266,,1194.0,1115.43,921.9,916.4,,,,,,20.76,3781.19,
2025-03-31,,8.4,,1.8,127.77,61.739199,155.82,1199.0,1117.4,916.8,897.19,91789.0,12.4,-4.3,-2.8,-1.5,20.85,3719.05,-0.1
2025-03-30,,,,,,38.149465,,762.0,726.04,791.6,689.02,,,,,,,,
2025-03-29,,,,,,31.445931,,834.0,769.83,852.9,792.36,,,,,,,,
2025-03-28,-1429.0,,89.31,,126.81,44.420593,,1237.0,1200.89,1037.5,1004.2,,,,,,20.94,3761.81,
2025-03-27,,,,,126.84,50.881465,,1127.0,1113.33,938.4,932.5,,,,,,20.74,3781.51,
2025-03-26,,,,,126.94,38.402488,,1207.0,1120.72,932.6,944.6,,,,,,20.94,3774.09,
2025-03-25,,,,,126.38,39.334704,,1198.0,1105.63,931.3,934.38,,,,,,20.68,3766.58,
2025-03-24,,,,,126.33,33.562811,156.34,1185.0,1109.59,941.0,938.98,,,,,,21.05,3765.82,
2025-03-23,,,,,,25.176952,,781.0,741.55,884.7,837.78,54643.0,,,,,,,
2025-03-22,,,,,,25.129144,,929.0,860.95,984.7,907.06,,,,,,,,
2025-03-21,8855.0,,89.31,,127.08,34.574445,,1286.0,1215.99,1080.5,1039.96,,,,,,20.89,3713.34,
2025-03-20,,,,,127.18,35.877345,,1202.0,1117.78,955.4,948.02,,,,,,20.73,3724.68,
2025-03-19,,,,,127.18,32.733766,,1192.0,1112.29,953.3,943.54,,,,,,20.58,3699.95,
2025-03-18,,,,,126.85,31.5858,,1198.0,1100.06,939.3,927.06,,,,,,21.0,3725.21,
2025-03-17,,,,,126.77,27.304634,156.22,1183.0,1085.81,939.6,933.01,,,,,,20.76,3744.94,
2025-03-16,,,,,,13.941471,,710.0,684.04,915.8,821.5,58329.0,,,,,,,
2025-03-15,,,,,,21.940085,,709.8,671.06,773.8,779.38,,,,,,,,
2025-03-14,-2517.0,,87.03,,126.63,31.828917,,1210.5,1177.82,1063.6,1029.45,,,,,,20.79,3763.92,
2025-03-13,,,,,126.49,26.588394,,1148.3,1090.17,936.6,935.01,,,,,,20.86,3736.47,
2025-03-12,,,,,124.73,25.721906,,1111.8,1094.15,965.3,938.19,,,,,,20.73,3709.82,
2025-03-11,,,,,124.32,24.08348,,1181.9,1076.73,971.6,934.84,,,,,,20.73,3710.36,
2025-03-10,,,,,123.43,29.102814,156.23,1140.2,1083.14,966.7,941.35,,,,,,20.82,3718.3,
2025-03-09,,,,,,14.70359,,708.5,659.05,860.3,823.22,40406.0,,,,,,,
2025-03-08,,,,,,16.006991,,878.8,750.97,929.7,896.7,,,,,,,,
2025-03-07,-8813.0,,84.29,,123.31,28.662467,,1248.6,1183.64,1008.5,994.65,,,,,,20.81,3722.62,
2025-03-06,,,,,121.53,24.944656,,1168.5,1100.19,893.5,892.38,,,,,,20.99,3720.62,
2025-03-05,,,,,121.55,24.040178,,1161.0,1098.75,878.2,901.58,,,,,,20.83,3719.94,
2025-03-04,,,,,120.12,20.001496,,1130.1,1091.39,835.9,896.49,,,,,,20.71,3747.23,
2025-03-03,,,,,120.11,21.550246,156.25,1078.3,1087.19,911.1,928.2,,,,,,20.82,3787.61,
2025-03-02,,,,,,13.094801,,731.6,634.66,870.7,824.65,,,,,,,,
2025-03-01,,,,,,16.022489,,864.7,743.13,957.8,896.65,,,,,,,,
2025-02-28,1369.7,8.2,86.03,,119.76,50.93216,,1250.0,1207.21,1070.0,1034.67,94541.0,-3.0,1.4,-2.5,-1.2,20.86,3799.86,-0.7
2025-02-27,,,,,119.08,44.632478,,1127.5,1110.47,934.3,932.36,,,,,,21.23,3793.88,
2025-02-26,,,,,118.87,37.253844,,1148.6,1110.78,906.7,917.96,,,,,,21.4,3787.54,
2025-02-25,,,,,118.64,32.2109,,1132.7,1107.48,910.3,920.85,,,,,,21.25,3803.25,
2025-02-24,,,,,118.56,23.76038,156.61,1149.1,1106.86,945.8,938.09,,,,,,21.33,3835.39,
2025-02-23,,,,,,16.953393,,662.3,674.41,831.5,797.4,49013.0,,,,,,,
2025-02-22,,,,,,15.135901,,789.2,768.02,928.3,897.45,,,,,,,,
2025-02-21,4818.0,,,,118.23,26.832127,,1210.8,1214.43,1038.0,1040.01,,,,,,21.45,3867.52,
2025-02-20,,,,,119.09,30.226486,,1133.5,1138.8,951.5,954.55,,,,,,21.54,3885.01,
2025-02-19,,,,,119.4,23.161255,,1152.5,1124.4,944.4,947.88,,,,,,21.45,3850.35,
2025-02-18,,,,,119.39,20.432968,,1163.0,1124.58,938.6,938.53,,,,,,21.64,3846.47,
2025-02-17,,,,,119.6,22.889572,156.77,1144.8,1115.14,941.2,930.46,,,,,,21.76,3832.84,
2025-02-16,,,,,,12.868675,,709.3,641.12,797.0,778.82,48910.0,,,,,,,
2025-02-15,,,,,,13.527047,,651.6,717.35,848.9,819.77,,,,,,,,
2025-02-14,-5609.0,,91.92,,120.09,19.697416,,1170.8,1173.06,1011.7,1001.48,,,,,,21.78,3840.56,
2025-02-13,,,,,120.65,19.077243,,1121.5,1092.7,909.1,887.88,,,,,,21.99,3822.75,
2025-02-12,,,,,120.73,17.216328,,1070.4,1052.4,906.5,862.54,,,,,,22.16,3891.1,
2025-02-11,,,,,120.77,19.704749,,1077.4,1065.34,903.3,888.46,,,,,,22.3,3877.34,
2025-02-10,,,,,120.84,17.928532,157.06,1086.9,1062.07,906.6,891.65,,,,,,22.43,3894.69,
2025-02-09,,,,,,11.640182,,583.9,589.85,705.3,662.47,26528.0,,,,,,,
2025-02-08,,,,,120.84,15.02119,,898.6,936.69,852.2,766.03,,,,,,22.81,,
2025-02-07,-10213.0,,93.21,,120.85,15.715604,,954.4,921.62,828.9,800.81,,,,,,22.93,3889.91,
2025-02-06,,,,,120.86,12.192532,,951.0,918.74,804.5,746.89,,,,,,23.1,3861.22,
2025-02-05,,,,,120.86,7.879819,,902.8,878.77,765.6,700.01,,,,,,23.04,3835.68,
2025-02-04,,,,,,1.718715,,547.5,543.94,589.4,479.95,,,,,,,,
2025-02-03,,,,,,1.542854,157.2,537.0,517.81,506.2,385.5,,,,,,,,
2025-02-02,,,,,,0.968645,,499.9,513.56,475.3,387.26,,,,,,,,
2025-02-01,,,,,,0.753147,,411.0,485.52,481.4,371.94,,,,,,,,
2025-01-31,3307.2,8.0,,,,3.375986,,361.4,453.45,465.4,371.29,64555.0,6.0,-16.4,-2.6,-1.2,,,0.5
2025-01-30,,,,,,0.714289,,482.2,389.86,432.2,362.3,,,,,,,,
2025-01-29,,,,,,0.635958,,411.8,303.41,493.6,333.24,,,,,,,,
2025-01-28,,,,,,1.02104,,298.0,209.6,359.0,239.15,,,,,,,,
2025-01-27,,,,,,6.209756,157.94,558.7,454.94,526.7,373.66,,,,,,23.35,3861.58,
2025-01-26,,,,,,21.075421,,612.0,579.24,561.0,428.01,,,,,,23.35,,
2025-01-25,,,,,,15.019725,,568.2,527.54,643.0,501.98,76777.0,,,,,,,
2025-01-24,8157.0,,91.92,,120.86,23.790687,,955.6,952.95,813.4,703.63,,,,,,22.95,3868.72,
2025-01-23,,,,,121.66,28.363536,,1012.5,1015.33,849.0,761.75,,,,,,22.86,3856.68,
2025-01-22,,,,,122.1,30.549055,,1067.7,1058.29,890.5,823.41,,,,,,22.83,3885.95,
2025-01-21,,,,,122.12,27.390035,,1099.4,1093.95,922.1,861.88,,,,,,22.72,3902.62,
2025-01-20,,,,,123.18,30.011717,157.72,1121.7,1104.11,952.7,896.02,,,,,,22.64,3893.87,
2025-01-19,,,,,,17.950787,,703.7,686.07,802.6,752.21,73779.0,,,,,,,
2025-01-18,,,,,,22.992721,,808.1,763.6,879.9,827.81,,,,,,,,
2025-01-17,14539.0,,91.13,,124.47,31.861665,,1192.4,1183.96,1014.1,996.56,,,,,,22.85,3937.16,
2025-01-16,,,,,124.47,32.079462,,1148.0,1140.14,966.3,954.25,,,,,,22.66,3924.46,
2025-01-15,,,,,126.23,27.527823,,1147.2,1135.77,961.2,951.36,,,,,,22.53,3874.98,
2025-01-14,,,,,126.33,27.575122,,1152.2,1125.32,951.4,928.34,,,,,,22.74,3857.39,
2025-01-13,,,,,127.32,27.327705,157.48,1151.2,1128.91,962.8,864.1,,,,,,22.79,3846.56,
2025-01-12,,,,,,16.728465,,695.7,676.66,826.5,781.14,48286.0,,,,,,,
2025-01-11,,,,,,19.828976,,773.1,740.89,898.0,767.02,,,,,,,,
2025-01-10,-2600.0,,92.51,,127.55,32.337983,,1203.1,1202.75,1056.7,1003.18,,,,,,22.62,3753.64,
