日期,中国:社会融资规模存量:同比,中国:发电量:当月同比,中国:出口金额:当月同比,中国:进口金额:当月同比,中国:PPI:生产资料:当月同比,中国:PPI:生活资料:当月同比,中国:CPI:当月同比
2017-03-31,15.710338,7.2,15.57,20.24,10.1,0.7,0.9
2017-04-30,15.501043,5.4,6.64,11.37,8.4,0.7,1.2
2017-05-31,15.503387,5.0,7.61,13.98,7.3,0.6,1.5
2017-06-30,14.917823,5.2,10.28,16.97,7.3,0.5,1.5
2017-07-31,15.542253,8.6,6.34,11.3,7.3,0.5,1.4
2017-08-31,15.112273,4.8,4.88,13.88,8.3,0.6,1.8
2017-09-30,14.888994,5.3,7.91,19.27,9.1,0.7,1.6
2017-10-31,14.955353,2.5,6.26,17.36,9.0,0.8,1.9
2017-11-30,14.492229,2.4,11.51,17.9,7.5,0.6,1.7
2017-12-31,14.081822,6.0,10.73,4.84,6.4,0.5,1.8
2018-03-31,12.690308,2.1,-2.98,14.79,4.1,0.2,2.1
2018-04-30,12.652969,6.9,11.91,22.28,4.5,0.1,1.8
2018-05-31,12.199076,9.8,11.9,26.15,5.4,0.3,1.8
2018-06-30,11.76127,6.7,10.7,13.78,6.1,0.4,1.9
2018-07-31,11.485086,5.7,11.6,26.92,6.0,0.6,2.1
2018-08-31,11.516139,7.3,9.55,20.67,5.2,0.7,2.3
2018-09-30,11.208433,4.6,13.87,14.4,4.6,0.8,2.5
2018-10-31,10.789977,4.8,14.29,20.38,4.2,0.7,2.5
2018-11-30,10.307183,3.6,3.92,2.84,3.3,0.8,2.2
2018-12-31,10.259731,6.2,-4.61,-7.67,1.0,0.7,1.9
2019-03-31,11.162117,5.4,13.99,-7.14,0.3,0.5,2.3
2019-04-30,10.805548,3.8,-2.68,4.52,0.9,0.9,2.5
2019-05-31,11.025001,0.2,1.1,-8.19,0.6,0.9,2.7
2019-06-30,11.193424,2.8,-1.45,-6.8,-0.3,0.9,2.7
2019-07-31,10.848681,0.6,3.44,-4.9,-0.7,0.8,2.8
2019-08-31,10.676172,1.7,-0.96,-5.5,-1.3,0.7,2.8
2019-09-30,10.666387,4.7,-3.19,-8.2,-2.0,1.1,3.0
2019-10-31,10.581898,4.0,-0.83,-6.11,-2.6,1.4,3.8
2019-11-30,10.669227,4.0,-1.27,1.0,-2.5,1.6,4.5
2019-12-31,10.692756,3.5,8.05,16.67,-1.2,1.3,4.5
2020-03-31,11.5,-4.6,-6.89,-1.36,-2.4,1.2,4.3
2020-04-30,12.0,0.3,3.04,-14.39,-4.5,0.9,3.3
2020-05-31,12.5,4.3,-3.5,-16.18,-5.1,0.5,2.4
2020-06-30,12.8,6.5,0.18,3.29,-4.2,0.6,2.5
2020-07-31,12.9,1.9,6.79,-0.69,-3.5,0.7,2.7
2020-08-31,13.3,6.8,9.08,-1.6,-3.0,0.6,2.4
2020-09-30,13.5,5.3,9.35,13.47,-2.8,-0.1,1.7
2020-10-31,13.7,4.6,10.92,4.83,-2.7,-0.5,0.5
2020-11-30,13.6,6.8,20.53,4.56,-1.8,-0.8,-0.5
2020-12-31,13.3,9.1,18.04,7.58,-0.5,-0.4,0.2
2021-03-31,12.3,17.4,30.32,39.12,5.8,0.1,0.4
2021-04-30,11.7,11.0,31.89,44.05,9.1,0.3,0.9
2021-05-31,11.0,7.9,27.52,52.19,12.0,0.5,1.3
2021-06-30,11.0,7.4,31.69,37.28,11.8,0.3,1.1
2021-07-31,10.7,9.6,18.76,28.27,12.0,0.3,1.0
2021-08-31,10.3,0.2,25.09,32.41,12.7,0.3,0.8
2021-09-30,10.0,4.9,27.7,16.67,14.2,0.4,0.7
2021-10-31,10.0,3.0,26.62,20.01,17.9,0.6,1.5
2021-11-30,10.1,0.2,21.49,31.32,17.0,1.0,2.3
2021-12-31,10.3,-2.1,20.58,19.7,13.4,1.0,1.5
2022-03-31,10.5,0.2,13.44,0.45,10.7,0.9,1.5
2022-04-30,10.2,-4.3,2.23,0.02,10.3,1.0,2.1
2022-05-31,10.5,-3.3,15.45,3.35,8.1,1.2,2.1
2022-06-30,10.8,1.5,15.38,-0.33,7.5,1.7,2.5
2022-07-31,10.7,4.5,16.42,1.23,5.0,1.7,2.7
2022-08-31,10.5,9.9,5.87,-0.57,2.4,1.6,2.5
2022-09-30,10.6,-0.4,4.45,-0.45,0.6,1.8,2.8
